transaction_id,customer_id,timestamp,channel,campaign_id,product_category,region,returning_customer,prior_orders,product_views,cart_added,dwell_time_seconds,price_comparison_tabs,original_value,discount_percent,discount_amount,treated,conversion,final_value,cost,profit
DEMO_000025,CUST_0651,2025-01-02 00:00:00,Email,FLASH20,Beauty,East,0,1,3,0,180,4,288.31,0.0,0.0,0,0,0.0,165.13,0.0
DEMO_000026,CUST_0536,2025-01-02 01:00:00,PPC,WELCOME10,Electronics,North,0,2,5,1,227,2,139.93,0.0,0.0,0,0,0.0,92.83,0.0
DEMO_000027,CUST_0335,2025-01-02 02:00:00,Email,SUMMER15,Sports,South,1,2,9,1,81,0,247.96,0.0,0.0,0,1,247.96,153.17,94.79
DEMO_000028,CUST_0685,2025-01-02 03:00:00,Email,SUMMER15,Home,East,1,4,5,1,307,1,348.92,0.0,0.0,0,0,0.0,190.24,0.0
DEMO_000029,CUST_0454,2025-01-02 04:00:00,Direct,RETARGET,Home,East,0,0,6,1,425,1,52.84,0.0,0.0,0,0,0.0,24.21,0.0
DEMO_000030,CUST_0369,2025-01-02 05:00:00,Organic,WELCOME10,Beauty,South,0,1,1,1,260,2,188.34,0.25,47.08,1,1,141.26,123.38,17.88
DEMO_000031,CUST_0375,2025-01-02 06:00:00,PPC,FLASH20,Beauty,South,0,0,3,1,132,0,141.51,0.0,0.0,0,0,0.0,86.7,0.0
DEMO_000032,CUST_0189,2025-01-02 07:00:00,PPC,LOYALTY,Electronics,West,0,0,4,0,126,0,125.15,0.15,18.77,1,0,0.0,60.2,0.0
DEMO_000033,CUST_0076,2025-01-02 08:00:00,PPC,RETARGET,Sports,North,0,0,7,1,237,4,83.31,0.15,12.5,1,0,0.0,55.41,0.0
DEMO_000034,CUST_0461,2025-01-02 09:00:00,Organic,FLASH20,Fashion,North,0,0,5,0,267,0,75.11,0.0,0.0,0,0,0.0,42.24,0.0
DEMO_000035,CUST_0739,2025-01-02 10:00:00,Direct,SUMMER15,Home,North,0,0,1,0,129,2,69.83,0.2,13.97,1,0,0.0,31.9,0.0
DEMO_000036,CUST_0053,2025-01-02 11:00:00,Direct,SUMMER15,Fashion,West,1,0,2,0,288,1,305.05,0.0,0.0,0,0,0.0,158.03,0.0
DEMO_000037,CUST_0714,2025-01-02 12:00:00,PPC,SUMMER15,Fashion,South,0,1,3,0,138,1,139.68,0.25,34.92,1,0,0.0,90.48,0.0
DEMO_000038,CUST_0689,2025-01-02 13:00:00,PPC,LOYALTY,Home,North,1,5,9,1,274,0,60.85,0.0,0.0,0,0,0.0,33.25,0.0
DEMO_000039,CUST_0230,2025-01-02 14:00:00,PPC,SUMMER15,Sports,North,0,1,3,1,142,0,69.85,0.2,13.97,1,0,0.0,44.41,0.0
DEMO_000040,CUST_0526,2025-01-02 15:00:00,Organic,LOYALTY,Fashion,North,0,0,5,0,186,1,45.09,0.1,4.51,1,0,0.0,24.47,0.0
DEMO_000041,CUST_0137,2025-01-02 16:00:00,Organic,LOYALTY,Fashion,West,1,5,3,0,321,0,191.71,0.05,9.59,1,1,182.12,92.18,89.94
DEMO_000042,CUST_0631,2025-01-02 17:00:00,Organic,RETARGET,Sports,South,0,0,4,0,174,1,114.48,0.1,11.45,1,0,0.0,56.64,0.0
DEMO_000043,CUST_0583,2025-01-02 18:00:00,Organic,SUMMER15,Electronics,North,1,2,8,1,395,1,141.05,0.1,14.11,1,1,126.94,92.06,34.88
DEMO_000044,CUST_0295,2025-01-02 19:00:00,PPC,RETARGET,Sports,North,1,5,8,0,211,1,112.29,0.0,0.0,0,0,0.0,55.21,0.0
DEMO_000045,CUST_0056,2025-01-02 20:00:00,PPC,FLASH20,Fashion,East,1,3,9,0,133,2,171.83,0.0,0.0,0,0,0.0,114.29,0.0
DEMO_000046,CUST_0808,2025-01-02 21:00:00,PPC,LOYALTY,Sports,East,0,1,3,1,103,5,93.82,0.15,14.07,1,1,79.75,48.45,31.3
DEMO_000047,CUST_0371,2025-01-02 22:00:00,Email,LOYALTY,Fashion,West,0,0,6,0,144,3,128.12,0.1,12.81,1,0,0.0,86.29,0.0
DEMO_000048,CUST_0743,2025-01-02 23:00:00,Email,RETARGET,Home,North,0,1,6,0,224,1,126.89,0.1,12.69,1,1,114.2,59.93,54.27
DEMO_000049,CUST_0564,2025-01-03 00:00:00,Social,FLASH20,Electronics,North,0,2,3,1,607,1,66.54,0.2,13.31,1,0,0.0,38.34,0.0
DEMO_000050,CUST_0648,2025-01-03 01:00:00,PPC,LOYALTY,Home,North,0,3,7,1,148,2,81.01,0.2,16.2,1,0,0.0,37.12,0.0
DEMO_000051,CUST_0632,2025-01-03 02:00:00,Email,SUMMER15,Electronics,South,1,3,5,1,260,1,97.88,0.1,9.79,1,1,88.09,49.82,38.27
DEMO_000052,CUST_0162,2025-01-03 03:00:00,Organic,FLASH20,Home,East,1,4,12,0,253,1,129.6,0.0,0.0,0,1,129.6,83.82,45.78
DEMO_000053,CUST_0303,2025-01-03 04:00:00,Social,FLASH20,Home,East,0,1,1,0,107,2,209.51,0.1,20.95,1,0,0.0,103.29,0.0
DEMO_000054,CUST_0388,2025-01-03 05:00:00,PPC,LOYALTY,Fashion,North,0,1,4,1,204,2,118.16,0.0,0.0,0,0,0.0,77.4,0.0
DEMO_000055,CUST_0414,2025-01-03 06:00:00,Social,LOYALTY,Fashion,East,1,1,3,0,344,0,107.83,0.2,21.57,1,0,0.0,63.15,0.0
DEMO_000056,CUST_0036,2025-01-03 07:00:00,Direct,WELCOME10,Electronics,East,1,2,9,1,569,0,128.96,0.0,0.0,0,1,128.96,79.58,49.38
DEMO_000057,CUST_0455,2025-01-03 08:00:00,Organic,RETARGET,Home,North,0,0,6,0,57,2,104.51,0.2,20.9,1,0,0.0,55.67,0.0
DEMO_000058,CUST_0128,2025-01-03 09:00:00,Social,LOYALTY,Fashion,East,0,3,9,0,199,2,111.03,0.0,0.0,0,0,0.0,75.11,0.0
DEMO_000059,CUST_0619,2025-01-03 10:00:00,Email,WELCOME10,Fashion,South,1,8,5,1,87,1,221.88,0.0,0.0,0,1,221.88,142.03,79.85
DEMO_000060,CUST_0568,2025-01-03 11:00:00,Direct,RETARGET,Beauty,North,1,3,4,0,116,2,101.46,0.1,10.15,1,1,91.31,66.93,24.38
DEMO_000061,CUST_0768,2025-01-03 12:00:00,PPC,LOYALTY,Beauty,South,1,2,6,1,139,2,126.2,0.1,12.62,1,1,113.58,61.02,52.56
DEMO_000062,CUST_0620,2025-01-03 13:00:00,Direct,WELCOME10,Beauty,West,0,2,2,0,252,1,83.91,0.1,8.39,1,0,0.0,42.91,0.0
DEMO_000063,CUST_0305,2025-01-03 14:00:00,Organic,FLASH20,Sports,East,0,0,5,0,267,3,197.82,0.05,9.89,1,1,187.93,127.28,60.65
DEMO_000064,CUST_0805,2025-01-03 15:00:00,Email,RETARGET,Sports,South,0,0,7,0,135,0,74.43,0.1,7.44,1,0,0.0,44.95,0.0
DEMO_000065,CUST_0342,2025-01-03 16:00:00,Email,SUMMER15,Beauty,West,0,1,7,0,152,0,108.6,0.05,5.43,1,1,103.17,58.48,44.69
DEMO_000066,CUST_0271,2025-01-03 17:00:00,Social,RETARGET,Beauty,South,1,1,6,1,188,0,174.53,0.1,17.45,1,0,0.0,97.18,0.0
DEMO_000067,CUST_0754,2025-01-03 18:00:00,Organic,FLASH20,Home,South,0,0,4,1,210,0,75.97,0.0,0.0,0,0,0.0,41.85,0.0
DEMO_000068,CUST_0308,2025-01-03 19:00:00,Email,SUMMER15,Fashion,North,1,4,3,0,664,1,165.76,0.15,24.86,1,0,0.0,95.86,0.0
DEMO_000069,CUST_0063,2025-01-03 20:00:00,Social,SUMMER15,Electronics,West,1,5,5,0,176,0,44.61,0.0,0.0,0,0,0.0,25.09,0.0
DEMO_000070,CUST_0391,2025-01-03 21:00:00,Direct,FLASH20,Home,West,1,2,3,0,117,1,68.62,0.1,6.86,1,0,0.0,38.06,0.0
DEMO_000071,CUST_0662,2025-01-03 22:00:00,Organic,LOYALTY,Electronics,North,1,4,9,0,131,0,107.51,0.0,0.0,0,0,0.0,56.48,0.0
DEMO_000072,CUST_0157,2025-01-03 23:00:00,Organic,RETARGET,Beauty,East,1,1,6,0,43,0,331.74,0.0,0.0,0,0,0.0,183.53,0.0
DEMO_000073,CUST_0385,2025-01-04 00:00:00,Email,WELCOME10,Electronics,West,0,0,2,0,341,3,119.76,0.1,11.98,1,1,107.78,58.78,49.0
DEMO_000074,CUST_0108,2025-01-04 01:00:00,Social,RETARGET,Sports,East,0,1,6,1,251,5,120.91,0.2,24.18,1,1,96.73,59.72,37.01
DEMO_000075,CUST_0571,2025-01-04 02:00:00,PPC,FLASH20,Home,North,0,2,4,0,401,2,188.01,0.0,0.0,0,0,0.0,114.37,0.0
DEMO_000076,CUST_0396,2025-01-04 03:00:00,Direct,WELCOME10,Beauty,West,1,2,7,0,283,0,68.8,0.0,0.0,0,0,0.0,46.22,0.0
DEMO_000077,CUST_0275,2025-01-04 04:00:00,PPC,RETARGET,Fashion,South,1,4,7,0,298,0,28.65,0.15,4.3,1,0,0.0,14.29,0.0
DEMO_000078,CUST_0189,2025-01-04 05:00:00,Organic,SUMMER15,Sports,South,0,0,5,0,280,6,244.75,0.1,24.48,1,0,0.0,161.53,0.0
DEMO_000079,CUST_0470,2025-01-04 06:00:00,PPC,LOYALTY,Sports,South,0,1,2,0,184,1,147.24,0.05,7.36,1,0,0.0,87.44,0.0
DEMO_000080,CUST_0557,2025-01-04 07:00:00,Email,LOYALTY,Home,West,0,2,8,0,52,4,91.8,0.2,18.36,1,0,0.0,61.43,0.0
DEMO_000081,CUST_0783,2025-01-04 08:00:00,Social,WELCOME10,Beauty,East,0,0,4,1,454,1,115.1,0.25,28.78,1,0,0.0,62.26,0.0
DEMO_000082,CUST_0364,2025-01-04 09:00:00,Organic,SUMMER15,Electronics,East,1,3,6,0,254,1,180.09,0.0,0.0,0,0,0.0,109.63,0.0
DEMO_000083,CUST_0133,2025-01-04 10:00:00,Organic,LOYALTY,Electronics,West,0,0,6,1,195,0,105.83,0.0,0.0,0,0,0.0,60.86,0.0
DEMO_000084,CUST_0693,2025-01-04 11:00:00,Direct,SUMMER15,Beauty,West,1,5,6,0,128,0,119.73,0.0,0.0,0,1,119.73,80.8,38.93
DEMO_000085,CUST_0524,2025-01-04 12:00:00,Direct,WELCOME10,Beauty,West,1,2,8,0,166,1,280.31,0.1,28.03,1,1,252.28,130.04,122.24
DEMO_000086,CUST_0583,2025-01-04 13:00:00,Direct,WELCOME10,Electronics,West,0,0,4,0,179,1,64.1,0.25,16.02,1,1,48.08,29.71,18.37
DEMO_000087,CUST_0080,2025-01-04 14:00:00,Email,RETARGET,Fashion,West,0,0,7,1,167,2,141.56,0.0,0.0,0,0,0.0,91.84,0.0
DEMO_000088,CUST_0260,2025-01-04 15:00:00,Organic,WELCOME10,Electronics,West,1,5,8,0,205,2,64.72,0.1,6.47,1,1,58.25,29.92,28.33
DEMO_000089,CUST_0639,2025-01-04 16:00:00,Direct,WELCOME10,Fashion,East,1,3,9,1,289,2,226.66,0.15,34.0,1,0,0.0,149.3,0.0
DEMO_000090,CUST_0693,2025-01-04 17:00:00,PPC,FLASH20,Electronics,North,0,2,6,1,260,0,127.98,0.05,6.4,1,0,0.0,60.36,0.0
DEMO_000091,CUST_0362,2025-01-04 18:00:00,Email,WELCOME10,Beauty,North,0,0,7,0,334,1,82.35,0.05,4.12,1,0,0.0,39.19,0.0
DEMO_000092,CUST_0670,2025-01-04 19:00:00,Social,LOYALTY,Sports,West,1,2,9,0,91,0,57.1,0.05,2.86,1,0,0.0,30.04,0.0
DEMO_000093,CUST_0701,2025-01-04 20:00:00,Organic,FLASH20,Fashion,South,1,2,7,1,456,2,95.81,0.15,14.37,1,0,0.0,59.13,0.0
DEMO_000094,CUST_0322,2025-01-04 21:00:00,Organic,LOYALTY,Electronics,West,1,1,8,1,154,1,121.94,0.1,12.19,1,1,109.75,71.05,38.7
DEMO_000095,CUST_0748,2025-01-04 22:00:00,Direct,FLASH20,Sports,West,1,4,8,1,124,2,188.91,0.0,0.0,0,0,0.0,124.5,0.0
DEMO_000096,CUST_0240,2025-01-04 23:00:00,Organic,LOYALTY,Sports,East,1,4,11,1,143,1,68.57,0.0,0.0,0,1,68.57,40.79,27.78
DEMO_000097,CUST_0199,2025-01-05 00:00:00,PPC,LOYALTY,Sports,West,0,0,3,0,118,1,77.39,0.2,15.48,1,1,61.91,45.43,16.48
DEMO_000098,CUST_0568,2025-01-05 01:00:00,PPC,FLASH20,Beauty,South,1,3,9,1,164,0,89.69,0.0,0.0,0,0,0.0,52.13,0.0
DEMO_000099,CUST_0530,2025-01-05 02:00:00,PPC,WELCOME10,Home,South,0,0,8,1,155,1,79.14,0.15,11.87,1,1,67.27,43.0,24.27
DEMO_000100,CUST_0116,2025-01-05 03:00:00,Email,SUMMER15,Sports,West,1,1,8,0,65,0,88.98,0.0,0.0,0,0,0.0,53.12,0.0
DEMO_000101,CUST_0693,2025-01-05 04:00:00,Social,WELCOME10,Sports,West,1,1,8,1,339,0,73.31,0.0,0.0,0,0,0.0,49.4,0.0
DEMO_000102,CUST_0166,2025-01-05 05:00:00,Social,WELCOME10,Electronics,North,1,4,4,0,76,0,135.33,0.0,0.0,0,0,0.0,91.16,0.0
DEMO_000103,CUST_0670,2025-01-05 06:00:00,PPC,SUMMER15,Sports,West,0,0,6,1,674,0,90.26,0.0,0.0,0,0,0.0,42.92,0.0
DEMO_000104,CUST_0006,2025-01-05 07:00:00,PPC,SUMMER15,Fashion,South,1,4,13,1,179,1,112.72,0.0,0.0,0,0,0.0,62.53,0.0
DEMO_000105,CUST_0663,2025-01-05 08:00:00,Direct,WELCOME10,Fashion,West,1,2,8,0,254,4,128.63,0.1,12.86,1,1,115.77,75.41,40.36
DEMO_000106,CUST_0655,2025-01-05 09:00:00,Email,SUMMER15,Fashion,East,1,5,10,0,125,0,60.3,0.1,6.03,1,0,0.0,37.06,0.0
DEMO_000107,CUST_0650,2025-01-05 10:00:00,Organic,FLASH20,Home,East,1,2,5,1,205,2,146.52,0.0,0.0,0,1,146.52,76.06,70.46
DEMO_000108,CUST_0553,2025-01-05 11:00:00,Organic,WELCOME10,Beauty,North,0,0,2,0,78,1,123.25,0.0,0.0,0,0,0.0,83.33,0.0
DEMO_000109,CUST_0392,2025-01-05 12:00:00,Social,SUMMER15,Fashion,South,0,1,8,0,144,0,123.31,0.0,0.0,0,0,0.0,67.27,0.0
DEMO_000110,CUST_0587,2025-01-05 13:00:00,Email,WELCOME10,Sports,East,1,2,10,0,153,1,105.64,0.05,5.28,1,0,0.0,54.47,0.0
DEMO_000111,CUST_0230,2025-01-05 14:00:00,Social,WELCOME10,Fashion,West,1,1,8,1,291,0,99.35,0.0,0.0,0,0,0.0,62.53,0.0
DEMO_000112,CUST_0650,2025-01-05 15:00:00,PPC,WELCOME10,Electronics,North,1,2,10,1,400,3,114.92,0.0,0.0,0,0,0.0,67.26,0.0
DEMO_000113,CUST_0462,2025-01-05 16:00:00,Organic,FLASH20,Beauty,North,1,3,7,0,166,0,117.1,0.1,11.71,1,0,0.0,77.06,0.0
DEMO_000114,CUST_0382,2025-01-05 17:00:00,Email,LOYALTY,Fashion,East,0,0,4,0,340,3,65.95,0.1,6.6,1,0,0.0,31.29,0.0
DEMO_000115,CUST_0421,2025-01-05 18:00:00,Organic,LOYALTY,Home,South,0,0,7,0,78,0,227.89,0.1,22.79,1,0,0.0,105.42,0.0
DEMO_000116,CUST_0473,2025-01-05 19:00:00,Organic,LOYALTY,Fashion,West,1,3,5,1,165,0,82.02,0.0,0.0,0,1,82.02,54.7,27.32
DEMO_000117,CUST_0031,2025-01-05 20:00:00,Email,LOYALTY,Sports,North,0,0,6,0,22,1,115.59,0.0,0.0,0,0,0.0,63.87,0.0
DEMO_000118,CUST_0116,2025-01-05 21:00:00,Email,RETARGET,Home,South,1,2,6,0,353,0,189.49,0.05,9.47,1,1,180.02,94.69,85.33
DEMO_000119,CUST_0204,2025-01-05 22:00:00,Email,SUMMER15,Fashion,North,1,6,8,0,264,0,96.18,0.1,9.62,1,1,86.56,59.72,26.84
DEMO_000120,CUST_0095,2025-01-05 23:00:00,PPC,LOYALTY,Beauty,East,1,1,5,0,229,0,124.79,0.15,18.72,1,1,106.07,84.78,21.29
DEMO_000121,CUST_0366,2025-01-06 00:00:00,Email,RETARGET,Fashion,West,0,0,3,0,216,1,41.84,0.0,0.0,0,0,0.0,28.44,0.0
DEMO_000122,CUST_0556,2025-01-06 01:00:00,Direct,FLASH20,Beauty,North,1,1,8,0,379,2,45.98,0.0,0.0,0,0,0.0,30.88,0.0
DEMO_000123,CUST_0545,2025-01-06 02:00:00,PPC,RETARGET,Home,South,0,1,3,1,345,0,110.88,0.1,11.09,1,1,99.79,53.89,45.9
DEMO_000124,CUST_0392,2025-01-06 03:00:00,Social,WELCOME10,Beauty,West,0,1,5,0,138,0,122.15,0.15,18.32,1,1,103.83,78.86,24.97
DEMO_000125,CUST_0712,2025-01-06 04:00:00,Direct,RETARGET,Sports,North,0,1,5,0,76,0,184.52,0.1,18.45,1,1,166.07,88.31,77.76
DEMO_000126,CUST_0470,2025-01-06 05:00:00,Email,FLASH20,Electronics,West,0,0,7,1,233,2,160.86,0.05,8.04,1,1,152.82,85.59,67.23
DEMO_000127,CUST_0065,2025-01-06 06:00:00,Organic,SUMMER15,Fashion,West,1,3,9,0,182,0,54.79,0.0,0.0,0,1,54.79,26.9,27.89
DEMO_000128,CUST_0637,2025-01-06 07:00:00,Direct,WELCOME10,Beauty,North,1,4,4,0,85,1,198.49,0.1,19.85,1,0,0.0,105.57,0.0
DEMO_000129,CUST_0478,2025-01-06 08:00:00,Organic,LOYALTY,Electronics,North,0,1,5,1,123,2,65.64,0.0,0.0,0,0,0.0,33.28,0.0
DEMO_000130,CUST_0528,2025-01-06 09:00:00,PPC,FLASH20,Sports,East,1,4,9,0,81,0,165.38,0.0,0.0,0,0,0.0,108.53,0.0
DEMO_000131,CUST_0470,2025-01-06 10:00:00,PPC,SUMMER15,Electronics,North,0,0,3,0,479,2,91.54,0.1,9.15,1,1,82.39,61.99,20.4
DEMO_000132,CUST_0461,2025-01-06 11:00:00,Email,SUMMER15,Fashion,East,1,5,7,0,87,1,380.74,0.1,38.07,1,0,0.0,186.55,0.0
DEMO_000133,CUST_0075,2025-01-06 12:00:00,Organic,RETARGET,Sports,North,1,2,5,1,199,0,86.0,0.0,0.0,0,0,0.0,41.26,0.0
DEMO_000134,CUST_0465,2025-01-06 13:00:00,Direct,FLASH20,Home,East,1,5,3,1,150,2,108.49,0.05,5.42,1,0,0.0,52.92,0.0
DEMO_000135,CUST_0662,2025-01-06 14:00:00,Direct,WELCOME10,Beauty,South,0,0,10,1,160,0,120.45,0.1,12.05,1,1,108.4,69.87,38.53
DEMO_000136,CUST_0253,2025-01-06 15:00:00,Email,SUMMER15,Electronics,East,0,1,5,0,162,2,100.57,0.1,10.06,1,0,0.0,65.66,0.0
DEMO_000137,CUST_0502,2025-01-06 16:00:00,Social,WELCOME10,Electronics,West,0,0,8,0,206,5,71.61,0.25,17.9,1,1,53.71,44.5,9.21
DEMO_000138,CUST_0025,2025-01-06 17:00:00,PPC,LOYALTY,Electronics,South,1,1,13,1,310,0,302.43,0.0,0.0,0,0,0.0,165.45,0.0
DEMO_000139,CUST_0289,2025-01-06 18:00:00,Direct,RETARGET,Electronics,East,1,3,12,1,228,1,85.22,0.0,0.0,0,1,85.22,57.15,28.07
DEMO_000140,CUST_0363,2025-01-06 19:00:00,Email,RETARGET,Fashion,East,0,1,7,1,143,0,83.85,0.0,0.0,0,0,0.0,48.12,0.0
DEMO_000141,CUST_0818,2025-01-06 20:00:00,Direct,LOYALTY,Electronics,West,0,0,7,0,189,2,106.78,0.1,10.68,1,0,0.0,67.33,0.0
DEMO_000142,CUST_0178,2025-01-06 21:00:00,Social,LOYALTY,Electronics,North,1,6,5,0,86,2,122.36,0.0,0.0,0,0,0.0,69.13,0.0
DEMO_000143,CUST_0230,2025-01-06 22:00:00,Email,FLASH20,Fashion,North,0,1,4,0,131,0,82.42,0.0,0.0,0,0,0.0,49.72,0.0
DEMO_000144,CUST_0340,2025-01-06 23:00:00,Email,LOYALTY,Electronics,South,1,3,12,1,206,0,172.27,0.25,43.07,1,1,129.2,92.43,36.77
DEMO_000145,CUST_0826,2025-01-07 00:00:00,Social,WELCOME10,Electronics,East,1,1,13,1,155,1,120.15,0.0,0.0,0,1,120.15,55.52,64.63
DEMO_000146,CUST_0710,2025-01-07 01:00:00,Email,FLASH20,Fashion,West,0,0,4,0,381,1,113.19,0.0,0.0,0,0,0.0,66.88,0.0
DEMO_000147,CUST_0028,2025-01-07 02:00:00,Organic,FLASH20,Sports,South,0,0,5,0,130,6,144.19,0.2,28.84,1,1,115.35,74.46,40.89
DEMO_000148,CUST_0194,2025-01-07 03:00:00,Direct,WELCOME10,Fashion,North,0,0,9,1,199,1,76.56,0.05,3.83,1,1,72.73,44.15,28.58
DEMO_000149,CUST_0684,2025-01-07 04:00:00,Organic,FLASH20,Fashion,East,0,1,7,1,235,1,86.21,0.15,12.93,1,1,73.28,51.71,21.57
DEMO_000150,CUST_0048,2025-01-07 05:00:00,PPC,LOYALTY,Sports,East,1,5,8,1,120,1,111.06,0.0,0.0,0,1,111.06,61.52,49.54
DEMO_000151,CUST_0712,2025-01-07 06:00:00,PPC,SUMMER15,Home,South,1,0,5,0,51,0,170.45,0.0,0.0,0,0,0.0,82.86,0.0
DEMO_000152,CUST_0234,2025-01-07 07:00:00,Email,FLASH20,Electronics,North,0,0,4,0,156,4,100.51,0.0,0.0,0,0,0.0,63.84,0.0
DEMO_000153,CUST_0764,2025-01-07 08:00:00,Direct,SUMMER15,Electronics,West,0,1,6,0,58,3,97.25,0.1,9.73,1,0,0.0,47.62,0.0
DEMO_000154,CUST_0244,2025-01-07 09:00:00,PPC,SUMMER15,Fashion,West,0,0,4,0,222,1,43.43,0.25,10.86,1,0,0.0,20.84,0.0
DEMO_000155,CUST_0361,2025-01-07 10:00:00,Email,WELCOME10,Fashion,East,0,1,5,1,278,1,82.1,0.0,0.0,0,0,0.0,42.94,0.0
DEMO_000156,CUST_0551,2025-01-07 11:00:00,PPC,SUMMER15,Beauty,East,1,3,11,1,272,0,53.37,0.15,8.01,1,1,45.36,24.73,20.63
DEMO_000157,CUST_0105,2025-01-07 12:00:00,Direct,RETARGET,Beauty,South,1,1,6,1,331,0,59.7,0.2,11.94,1,1,47.76,31.72,16.04
DEMO_000158,CUST_0464,2025-01-07 13:00:00,Email,RETARGET,Electronics,South,1,2,9,1,205,1,132.24,0.0,0.0,0,0,0.0,82.55,0.0
DEMO_000159,CUST_0420,2025-01-07 14:00:00,Direct,LOYALTY,Sports,North,0,0,4,0,387,1,499.44,0.0,0.0,0,0,0.0,315.53,0.0
DEMO_000160,CUST_0652,2025-01-07 15:00:00,Social,LOYALTY,Home,North,1,1,8,1,259,0,122.41,0.1,12.24,1,0,0.0,67.94,0.0
DEMO_000161,CUST_0829,2025-01-07 16:00:00,Social,LOYALTY,Sports,South,0,0,2,0,370,1,130.29,0.0,0.0,0,0,0.0,64.13,0.0
DEMO_000162,CUST_0553,2025-01-07 17:00:00,Direct,FLASH20,Beauty,South,1,4,10,1,323,1,79.66,0.15,11.95,1,0,0.0,53.69,0.0
